Posisi,Perusahaan,Lokasi,Gaji,Waktu,min_Gajian,max_Gajian,avg_Gajian,Nama_Perusahaan,kota_Kerja,Time
Product Experience & Evaluation,PT Lippo General Insurance Tbk,Tangerang,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Lippo General Insurance Tbk,Tangerang,3 hari yang lalu
AI Innovation & Automation Lead,PT Interior Design Indo,Bandung,Rp 5.000.000 – Rp 7.500.000 per month,3 hari yang lalu,5000000.0,7500000.0,6250000.0,PT Interior Design Indo,Bandung,3 hari yang lalu
AI Engineer,Kataai,Sawah Besar,Gaji tidak disebutkan,3 hari yang lalu,,,,Kataai,Sawah Besar,3 hari yang lalu
Apprenticeship - Market Researcher,PT Prudential Life Assurance,Jakarta Selatan,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Prudential Life Assurance,Jakarta Selatan,3 hari yang lalu
Data Scientist Credit Scoring,PT Sharing Vision Indonesia,Jakarta Pusat,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Sharing Vision Indonesia,Jakarta Pusat,3 hari yang lalu
Sales Data & Planning Officer - Layer Commercial,PT Mitra Berlian Unggas,Bandung,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Mitra Berlian Unggas,Bandung,3 hari yang lalu
Data Analyst,"PT. Central Proteina Prima, Tbk",Jakarta Selatan,Gaji tidak disebutkan,3 hari yang lalu,,,,"PT. Central Proteina Prima, Tbk",Jakarta Selatan,3 hari yang lalu
Odoo Analyst and AI Engineer,"PT. Central Proteina Prima, Tbk",Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,"PT. Central Proteina Prima, Tbk",Jakarta Raya,3 hari yang lalu
Data Center IT Engineer,TITANICOM TECH LIMITED,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,TITANICOM TECH LIMITED,Jakarta Raya,3 hari yang lalu
Data Engineer,PT Avows Technologies,Jakarta Raya,Rp 7.000.000 – Rp 8.000.000 per month,3 hari yang lalu,7000000.0,8000000.0,7500000.0,PT Avows Technologies,Jakarta Raya,3 hari yang lalu
Security Engineer,PT Teknologi Inovasi Labs,Cakung,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Teknologi Inovasi Labs,Cakung,3 hari yang lalu
Technical Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,3 hari yang lalu,,,,Macquarie Group,Indonesia,3 hari yang lalu
Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,3 hari yang lalu,,,,Macquarie Group,Indonesia,3 hari yang lalu
Data Scientist,PT AIA Financial,Jakarta Raya,Gaji tidak disebutkan,3 hari yang lalu,,,,PT AIA Financial,Jakarta Raya,3 hari yang lalu
Fulltime Faculty Member - Computer Science (BINUS @Medan Campus),Yayasan Bina Nusantara,Medan,Gaji tidak disebutkan,3 hari yang lalu,,,,Yayasan Bina Nusantara,Medan,3 hari yang lalu
DATA ANALYST,A&W Restaurants Indonesia,Jakarta Utara,Gaji tidak disebutkan,3 hari yang lalu,,,,A&W Restaurants Indonesia,Jakarta Utara,3 hari yang lalu
Business Intelligence,SCG,Jakarta Selatan,Gaji tidak disebutkan,3 hari yang lalu,,,,SCG,Jakarta Selatan,3 hari yang lalu
Data Analyst,PT Propan Raya Industrial Coating Chemicals,Tangerang,Gaji tidak disebutkan,3 hari yang lalu,,,,PT Propan Raya Industrial Coating Chemicals,Tangerang,3 hari yang lalu
Jr. Data Linguistic,ALPHALITICAL,Kebayoran Lama,Gaji tidak disebutkan,3 hari yang lalu,,,,ALPHALITICAL,Kebayoran Lama,3 hari yang lalu
AI Support Intern,PT. WIZ TECHNOLOGY INDONESIA,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu,,,,PT. WIZ TECHNOLOGY INDONESIA,Jakarta Raya,4 hari yang lalu
Regulatory Reporting Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,4 hari yang lalu,,,,Macquarie Group,Indonesia,4 hari yang lalu
Data Analyst,PT Internet Mulia Untuk Negeri (NEXA),Semarang,Rp 4.500.000 – Rp 5.500.000 per month,4 hari yang lalu,4500000.0,5500000.0,5000000.0,PT Internet Mulia Untuk Negeri (NEXA),Semarang,4 hari yang lalu
AnyLab Internship Program: AI Agents and Workflow Automation,AnyMind Group,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu,,,,AnyMind Group,Jakarta Raya,4 hari yang lalu
Data Analyst for Sales Team,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,Gaji tidak disebutkan,4 hari yang lalu,,,,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,4 hari yang lalu
Market Analyst & Database Staff,Council of Palm Oil Producing Countries (CPOPC),Kemayoran,Gaji tidak disebutkan,4 hari yang lalu,,,,Council of Palm Oil Producing Countries (CPOPC),Kemayoran,4 hari yang lalu
