Posisi,Perusahaan,Lokasi,Gaji,Waktu,min_Gajian,max_Gajian,avg_Gajian,Nama_Perusahaan,kota_Kerja,Time
DATA ANALIS (SALES FMCG),PT Aroma Prima Livindo,Cipondoh,"Rp 6,500,000 – Rp 8,000,000 per month",14 hari yang lalu,,,,PT Aroma Prima Livindo,Cipondoh,14 hari yang lalu
Data Analyst Intern,PT Pabrik Cat & Tinta Pacific (Pacific Paint),Tangerang,Rp 1.500.000 – Rp 2.000.000 per month,14 hari yang lalu,1500000.0,2000000.0,1750000.0,PT Pabrik Cat & Tinta Pacific (Pacific Paint),Tangerang,14 hari yang lalu
Data Support (Balikpapan),PT Depoguna Bangunan Online,Balikpapan,Gaji tidak disebutkan,14 hari yang lalu,,,,PT Depoguna Bangunan Online,Balikpapan,14 hari yang lalu
Sales Data Analyst,PT Pristine Prima Lestari,Cengkareng,Rp 5.211.000 – Rp 6.000.000 per month,15 hari yang lalu,5211000.0,6000000.0,5605500.0,PT Pristine Prima Lestari,Cengkareng,15 hari yang lalu
Business Intelligence Project Management Intern,PT Alto Network,Jawa Tengah,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Alto Network,Jawa Tengah,15 hari yang lalu
Data Engineer Section Head,PT Triputra Agro Persada,Jakarta Selatan,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Triputra Agro Persada,Jakarta Selatan,15 hari yang lalu
Data Analyst Assistant Manager,PT. Dirgaputra Ekapratama,Jakarta Timur,Gaji tidak disebutkan,15 hari yang lalu,,,,PT. Dirgaputra Ekapratama,Jakarta Timur,15 hari yang lalu
System Analyst (Contract Base),PT Mitra Solusi Telematika,Jakarta Raya,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Mitra Solusi Telematika,Jakarta Raya,15 hari yang lalu
Data Analyst,"PT. Solusi Sinergi Digital, Tbk (Surge)",Jakarta Raya,Gaji tidak disebutkan,15 hari yang lalu,,,,"PT. Solusi Sinergi Digital, Tbk (Surge)",Jakarta Raya,15 hari yang lalu
AI Process Automation,PT CARSURIN Tbk,Jakarta Raya,Rp 6.000.000 – Rp 8.000.000 per month,15 hari yang lalu,6000000.0,8000000.0,7000000.0,PT CARSURIN Tbk,Jakarta Raya,15 hari yang lalu
AI Ignite Internship Programme (AIIP),PT Sea Group,Indonesia,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Sea Group,Indonesia,15 hari yang lalu
Jr Manager Business Analyst,Indofood Group,Kebayoran Lama,Gaji tidak disebutkan,15 hari yang lalu,,,,Indofood Group,Kebayoran Lama,15 hari yang lalu
Business Intelligence (Multifinance Industry),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Selatan,Gaji tidak disebutkan,15 hari yang lalu,,,,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Selatan,15 hari yang lalu
Artificial Intelligence (AI) Presales Engineer,PT Sinergi Wahana Gemilang,Jakarta Raya,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Sinergi Wahana Gemilang,Jakarta Raya,15 hari yang lalu
Data Scientist,PT Data Labs Analytics,Jakarta Pusat,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Data Labs Analytics,Jakarta Pusat,15 hari yang lalu
IT Big Data / AI - Internship,PT Bank Nationalnobu Tbk,Karawaci,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Bank Nationalnobu Tbk,Karawaci,15 hari yang lalu
Junior Business Analyst - Banking Industry (Can Join Immediately),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,15 hari yang lalu,,,,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,15 hari yang lalu
Business Intelligence Developer - Multifinance Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,15 hari yang lalu,,,,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,15 hari yang lalu
AI Engineer,PT Tiga Daya Digital Indonesia,Jakarta Raya,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Tiga Daya Digital Indonesia,Jakarta Raya,15 hari yang lalu
Audit Data Analyst,PT Sahabat Gadai Jawa Barat,Bekasi,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Sahabat Gadai Jawa Barat,Bekasi,15 hari yang lalu
Technical Analyst,PT MITRA BUANA VENTURA,Jakarta Raya,Rp 7.000.000 – Rp 10.000.000 per month,15 hari yang lalu,7000000.0,10000000.0,8500000.0,PT MITRA BUANA VENTURA,Jakarta Raya,15 hari yang lalu
Python Software Engineer,PT Sumber Makmur Surya Perkasa,Genteng,Gaji tidak disebutkan,15 hari yang lalu,,,,PT Sumber Makmur Surya Perkasa,Genteng,15 hari yang lalu
Games Senior Data Analyst,Live Play Mobile Inc,Jakarta Raya,Gaji tidak disebutkan,15 hari yang lalu,,,,Live Play Mobile Inc,Jakarta Raya,15 hari yang lalu
Jr. IT Data Analyst,Expat. Roasters,Denpasar,Gaji tidak disebutkan,16 hari yang lalu,,,,Expat. Roasters,Denpasar,16 hari yang lalu
Operations Analytics Associate,PT Solusi Transportasi Indonesia,Kebayoran Lama,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Solusi Transportasi Indonesia,Kebayoran Lama,16 hari yang lalu
Middle Data Engineer | Banking Industry | Jakarta (WFO),PT MSBU Konsultan Indonesia,Kebayoran Lama,Gaji tidak disebutkan,16 hari yang lalu,,,,PT MSBU Konsultan Indonesia,Kebayoran Lama,16 hari yang lalu
Data Protection Officer (DPO) Officer,PT Alto Network,Jawa Tengah,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Alto Network,Jawa Tengah,16 hari yang lalu
Risk Analyst,PT Home Credit Indonesia,Jakarta Selatan,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Home Credit Indonesia,Jakarta Selatan,16 hari yang lalu
Information System Lecturer,Yayasan Duranno Indonesia,Cikarang Pusat,Gaji tidak disebutkan,16 hari yang lalu,,,,Yayasan Duranno Indonesia,Cikarang Pusat,16 hari yang lalu
AI Engineer,PT Artha Infotama (Jakarta),Setiabudi,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Artha Infotama (Jakarta),Setiabudi,16 hari yang lalu
AI/ML Engineer,PT Sisindokom Lintasbuana,Jakarta Pusat,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Sisindokom Lintasbuana,Jakarta Pusat,16 hari yang lalu
IT Management Information System - Data Warehouse Engineer,OTO Group,Jakarta Selatan,Gaji tidak disebutkan,16 hari yang lalu,,,,OTO Group,Jakarta Selatan,16 hari yang lalu
Data Architect,PT Metrocom Global Solusi,Jakarta Selatan,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Metrocom Global Solusi,Jakarta Selatan,16 hari yang lalu
Full Stack Developer,Goodeva Technology,DI Yogyakarta,Rp 4.000.000 – Rp 6.000.000 per month,16 hari yang lalu,4000000.0,6000000.0,5000000.0,Goodeva Technology,DI Yogyakarta,16 hari yang lalu
Project Manager – Data & Analytics,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,16 hari yang lalu
Technical Lead – Big Data & Analytics,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,16 hari yang lalu
STAFF PIC CRM (ANALIS DATA),Anugerah Group,DI Yogyakarta,Gaji tidak disebutkan,16 hari yang lalu,,,,Anugerah Group,DI Yogyakarta,16 hari yang lalu
Data Sales Analyst,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,Gaji tidak disebutkan,16 hari yang lalu,,,,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,16 hari yang lalu
Data Collecting,PT KEHAMILAN SEHAT SEJAHTERA,Jakarta Raya,Rp 2.500.000 – Rp 3.500.000 per month,16 hari yang lalu,2500000.0,3500000.0,3000000.0,PT KEHAMILAN SEHAT SEJAHTERA,Jakarta Raya,16 hari yang lalu
Data Engineering Manager,Macquarie Group,Indonesia,Gaji tidak disebutkan,16 hari yang lalu,,,,Macquarie Group,Indonesia,16 hari yang lalu
Credit Analyst (Mataram),Kop Sehati Makmur Abadi,Lombok,Gaji tidak disebutkan,16 hari yang lalu,,,,Kop Sehati Makmur Abadi,Lombok,16 hari yang lalu
Credit Scoring & Portfolio Manager,PT Sejahtera Sama Kita,Jakarta Raya,Gaji tidak disebutkan,16 hari yang lalu,,,,PT Sejahtera Sama Kita,Jakarta Raya,16 hari yang lalu
AI Solutions Engineer | Technology Industry | Jakarta (WFO),PT MSBU Konsultan Indonesia,Kebayoran Lama,Gaji tidak disebutkan,16 hari yang lalu,,,,PT MSBU Konsultan Indonesia,Kebayoran Lama,16 hari yang lalu
Construction Manager (Data Center),PT Bureau Veritas Indonesia,Jakarta Raya,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Bureau Veritas Indonesia,Jakarta Raya,17 hari yang lalu
Data Quality Specialist,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,17 hari yang lalu
Data Governance Oficer,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,17 hari yang lalu
Data Scientist,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,17 hari yang lalu
Dashboard Engineer,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,17 hari yang lalu
Business Intelligence Engineer (Multifinance Industry),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,17 hari yang lalu,,,,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,17 hari yang lalu
Financial Model Consultant,Ravenry,Jakarta Raya,"Rp 7,000,000 – Rp 9,000,000 per month",17 hari yang lalu,,,,Ravenry,Jakarta Raya,17 hari yang lalu
System Reliability Engineer,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,17 hari yang lalu
DataOps / MLOps Engineer,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,17 hari yang lalu
Data Engineer,PT ROCKSTAR SPORTS SCHOOL,Jakarta Barat,Rp 10.000.000 – Rp 15.000.000 per month,17 hari yang lalu,10000000.0,15000000.0,12500000.0,PT ROCKSTAR SPORTS SCHOOL,Jakarta Barat,17 hari yang lalu
Data Engineer (ETL),PT Lawencon Internasional,Jakarta Selatan,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Lawencon Internasional,Jakarta Selatan,17 hari yang lalu
Business Analyst,PT Sigmantara Alfindo,Banten,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Sigmantara Alfindo,Banten,17 hari yang lalu
Data Engineer,PT Inovasi Digital Threesixty,Jakarta Pusat,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Inovasi Digital Threesixty,Jakarta Pusat,17 hari yang lalu
Data Analyst – Relaxology & Wellness,Pengiklan Anonim,Jakarta Raya,Gaji tidak disebutkan,17 hari yang lalu,,,,Pengiklan Anonim,Jakarta Raya,17 hari yang lalu
Business Analyst,PT Tritunas Bangun Perkasa,Batam,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Tritunas Bangun Perkasa,Batam,17 hari yang lalu
MIS Staff (Ms. Excel Expert),PT. Shinhan Indo Finance,Jakarta Timur,Gaji tidak disebutkan,17 hari yang lalu,,,,PT. Shinhan Indo Finance,Jakarta Timur,17 hari yang lalu
Senior Data Analyst – P2P Lending,PT Anugerah Digital Indonesia,Jakarta Selatan,Gaji tidak disebutkan,17 hari yang lalu,,,,PT Anugerah Digital Indonesia,Jakarta Selatan,17 hari yang lalu
AI Engineer,Pengiklan Anonim,Jakarta Raya,Rp 10.000.000 – Rp 11.000.000 per month,18 hari yang lalu,10000000.0,11000000.0,10500000.0,Pengiklan Anonim,Jakarta Raya,18 hari yang lalu
Data Engineer,PT. SENTRA SOLUSI BANGSA,Jakarta Raya,Rp 5.000.000 – Rp 6.000.000 per month,18 hari yang lalu,5000000.0,6000000.0,5500000.0,PT. SENTRA SOLUSI BANGSA,Jakarta Raya,18 hari yang lalu
Fraud Junior Analyst - Risk Platform,Indodana,Jakarta Raya,Gaji tidak disebutkan,19 hari yang lalu,,,,Indodana,Jakarta Raya,19 hari yang lalu
Data Analyst and Korean Reporting,PT Intrias Mandiri Sejati,Jakarta Pusat,Rp 8.000.000 – Rp 10.000.000 per month,19 hari yang lalu,8000000.0,10000000.0,9000000.0,PT Intrias Mandiri Sejati,Jakarta Pusat,19 hari yang lalu
Product Support Analyst I,CSG International Sdn. Bhd.,Jakarta Raya,Gaji tidak disebutkan,19 hari yang lalu,,,,CSG International Sdn. Bhd.,Jakarta Raya,19 hari yang lalu
Identity Management Associate Analyst,PT Intrias Mandiri Sejati,Jakarta Raya,Rp 5.729.876 – Rp 6.000.000 per month,19 hari yang lalu,5729876.0,6000000.0,5864938.0,PT Intrias Mandiri Sejati,Jakarta Raya,19 hari yang lalu
Data and Reporting - Senior Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,19 hari yang lalu,,,,Macquarie Group,Indonesia,19 hari yang lalu
EDP (Electronic Data Processing),PT Gawi Makmur Kalimantan,Kalimantan Selatan,Gaji tidak disebutkan,19 hari yang lalu,,,,PT Gawi Makmur Kalimantan,Kalimantan Selatan,19 hari yang lalu
Map Annotation Intern - Jakarta,PT SIGMA SOLUSI SERVICE,Kemayoran,Gaji tidak disebutkan,19 hari yang lalu,,,,PT SIGMA SOLUSI SERVICE,Kemayoran,19 hari yang lalu
Data Annotator – Jakarta,PT SIGMA SOLUSI SERVICE,Kemayoran,Gaji tidak disebutkan,19 hari yang lalu,,,,PT SIGMA SOLUSI SERVICE,Kemayoran,19 hari yang lalu
Intern Insight,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,Gaji tidak disebutkan,19 hari yang lalu,,,,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,19 hari yang lalu
Molecular Analyst,"PT SMART,Tbk",Bogor,Gaji tidak disebutkan,19 hari yang lalu,,,,"PT SMART,Tbk",Bogor,19 hari yang lalu
Technical Data Specialist - Networking Products and Solutions,Inqui Solutions Pte. Ltd.,Batam,Gaji tidak disebutkan,20 hari yang lalu,,,,Inqui Solutions Pte. Ltd.,Batam,20 hari yang lalu
AI (Artificial Intelligence) Engineer,PT. Insan Muda Berprestasi,Surabaya,Rp 5.000.000 – Rp 6.000.000 per month,21 hari yang lalu,5000000.0,6000000.0,5500000.0,PT. Insan Muda Berprestasi,Surabaya,21 hari yang lalu
Data Analyst,Tech Game,Jakarta Raya,Rp 8.000.000 – Rp 12.000.000 per month,21 hari yang lalu,8000000.0,12000000.0,10000000.0,Tech Game,Jakarta Raya,21 hari yang lalu
Sales Data Analyst,"PT Steel Pipe Industry of Indonesia, Tbk",Karawang,Gaji tidak disebutkan,21 hari yang lalu,,,,"PT Steel Pipe Industry of Indonesia, Tbk",Karawang,21 hari yang lalu
SAFETY ANALYST GL,PT Putra Perkasa Abadi,Kebayoran Baru,Gaji tidak disebutkan,22 hari yang lalu,,,,PT Putra Perkasa Abadi,Kebayoran Baru,22 hari yang lalu
Station Management Analyst,Ninja Xpress,Jakarta Raya,Gaji tidak disebutkan,22 hari yang lalu,,,,Ninja Xpress,Jakarta Raya,22 hari yang lalu
Marketing Quantitative Executive,PT Niaga Nusa Abadi,Jakarta Timur,Gaji tidak disebutkan,22 hari yang lalu,,,,PT Niaga Nusa Abadi,Jakarta Timur,22 hari yang lalu
AI Infrastructure / Server Engineer,Steradian Data Optima,Jakarta Raya,Rp 7.000.000 – Rp 9.000.000 per month,22 hari yang lalu,7000000.0,9000000.0,8000000.0,Steradian Data Optima,Jakarta Raya,22 hari yang lalu
Data Scientist,Steradian Data Optima,Jakarta Raya,Rp 8.000.000 – Rp 10.000.000 per month,22 hari yang lalu,8000000.0,10000000.0,9000000.0,Steradian Data Optima,Jakarta Raya,22 hari yang lalu
Data Analytic,Steradian Data Optima,Jakarta Raya,Rp 8.000.000 – Rp 10.000.000 per month,22 hari yang lalu,8000000.0,10000000.0,9000000.0,Steradian Data Optima,Jakarta Raya,22 hari yang lalu
Business Analyst,"PT. Sreeya Sewu Indonesia, Tbk",Tangerang,Gaji tidak disebutkan,22 hari yang lalu,,,,"PT. Sreeya Sewu Indonesia, Tbk",Tangerang,22 hari yang lalu
AI Engineer Senior,PT. LOTTE INNOVATE INDONESIA,Cilegon,Gaji tidak disebutkan,22 hari yang lalu,,,,PT. LOTTE INNOVATE INDONESIA,Cilegon,22 hari yang lalu
Data Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,22 hari yang lalu,,,,Macquarie Group,Indonesia,22 hari yang lalu
Big Data Specialist,PT Kode Evolusi Bangsa,Jakarta Pusat,Rp 10.000.000 – Rp 15.000.000 per month,22 hari yang lalu,10000000.0,15000000.0,12500000.0,PT Kode Evolusi Bangsa,Jakarta Pusat,22 hari yang lalu
Machine Learning Engineer,PT Kode Evolusi Bangsa,Jakarta Pusat,Rp 10.000.000 – Rp 15.000.000 per month,22 hari yang lalu,10000000.0,15000000.0,12500000.0,PT Kode Evolusi Bangsa,Jakarta Pusat,22 hari yang lalu
"Researcher, Junior Researcher, HPC Engineering",Institut Teknologi Del,Toba Samosir,Gaji tidak disebutkan,22 hari yang lalu,,,,Institut Teknologi Del,Toba Samosir,22 hari yang lalu
Data Analyst,PT LOCATOR LOGIC SOLUTIONS,Jakarta Selatan,Rp 6.000.000 – Rp 8.000.000 per month,22 hari yang lalu,6000000.0,8000000.0,7000000.0,PT LOCATOR LOGIC SOLUTIONS,Jakarta Selatan,22 hari yang lalu
Digital Risk QA Analyst Area Bengkulu,PT Bank Multiarta Sentosa,Bengkulu,Gaji tidak disebutkan,22 hari yang lalu,,,,PT Bank Multiarta Sentosa,Bengkulu,22 hari yang lalu
GIS Analyst,PT LOCATOR LOGIC SOLUTIONS,Jakarta Selatan,Rp 6.500.000 – Rp 8.000.000 per month,22 hari yang lalu,6500000.0,8000000.0,7250000.0,PT LOCATOR LOGIC SOLUTIONS,Jakarta Selatan,22 hari yang lalu
Data Analyst,CV Gunung Mas Sejahtera,Jakarta Utara,Rp 7.000.000 – Rp 10.000.000 per month,22 hari yang lalu,7000000.0,10000000.0,8500000.0,CV Gunung Mas Sejahtera,Jakarta Utara,22 hari yang lalu
Data specialist,PT. BRAHMA INTERNATIONAL,Jakarta Selatan,Gaji tidak disebutkan,22 hari yang lalu,,,,PT. BRAHMA INTERNATIONAL,Jakarta Selatan,22 hari yang lalu
Database Operation Officer,PT Indosopha Sakti,Jakarta Selatan,Gaji tidak disebutkan,22 hari yang lalu,,,,PT Indosopha Sakti,Jakarta Selatan,22 hari yang lalu
Market & Product Research,PT Jakarta Digital Nusantara,Jakarta Barat,Rp 6.000.000 – Rp 6.500.000 per month,22 hari yang lalu,6000000.0,6500000.0,6250000.0,PT Jakarta Digital Nusantara,Jakarta Barat,22 hari yang lalu
Data Analyst - Procurement Analyst,PT Margacipta Wirasentosa,Tangerang,Gaji tidak disebutkan,22 hari yang lalu,,,,PT Margacipta Wirasentosa,Tangerang,22 hari yang lalu
Reserving Actuary,"PT ZURICH ASURANSI INDONESIA, Tbk",Jakarta Selatan,Gaji tidak disebutkan,22 hari yang lalu,,,,"PT ZURICH ASURANSI INDONESIA, Tbk",Jakarta Selatan,22 hari yang lalu
Data Analysis Supervisor,PT SGMW Motor Indonesia,Jakarta Selatan,Gaji tidak disebutkan,22 hari yang lalu,,,,PT SGMW Motor Indonesia,Jakarta Selatan,22 hari yang lalu
Sales Data Analyst,PT Mitra Rubber Industries,Kelapa Gading,Rp 6.000.000 – Rp 8.000.000 per month,22 hari yang lalu,6000000.0,8000000.0,7000000.0,PT Mitra Rubber Industries,Kelapa Gading,22 hari yang lalu
junior data analis,D & I  Skin Centre - Klinik Spesialis Kulit,Denpasar Selatan,Rp 2.500.000 – Rp 3.500.000 per month,23 hari yang lalu,2500000.0,3500000.0,3000000.0,D & I  Skin Centre - Klinik Spesialis Kulit,Denpasar Selatan,23 hari yang lalu
SAFETY ANALYST GL,PT Putra Perkasa Abadi,Kebayoran Baru,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Putra Perkasa Abadi,Kebayoran Baru,23 hari yang lalu
MARINE SURVEY GEOPHYSICIST – STUDENT INTERNSHIP 2026 (OFFICE-BASED),PT Fugro Indonesia,Kebayoran Lama,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Fugro Indonesia,Kebayoran Lama,23 hari yang lalu
Product Development (R&D),Trapo Indonesia,Kalideres,Gaji tidak disebutkan,23 hari yang lalu,,,,Trapo Indonesia,Kalideres,23 hari yang lalu
AI & Automation Specialist,PT Komodo Capital Partners Management,Sleman,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Komodo Capital Partners Management,Sleman,23 hari yang lalu
Senior Analyst - Data and Models Governance,Macquarie Group,Indonesia,Gaji tidak disebutkan,23 hari yang lalu,,,,Macquarie Group,Indonesia,23 hari yang lalu
Sales Data Analyst,PT Kartika Sari Indonesia,Bandung,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Kartika Sari Indonesia,Bandung,23 hari yang lalu
Database Intern,Alodokter,Jakarta Selatan,Gaji tidak disebutkan,23 hari yang lalu,,,,Alodokter,Jakarta Selatan,23 hari yang lalu
Clinical Study Coordinator (Denpasar),Siloam Hospitals Group (Tbk),Bali,Gaji tidak disebutkan,23 hari yang lalu,,,,Siloam Hospitals Group (Tbk),Bali,23 hari yang lalu
Data Engineer,Sibernetik Integra Data,Jakarta Raya,Gaji tidak disebutkan,23 hari yang lalu,,,,Sibernetik Integra Data,Jakarta Raya,23 hari yang lalu
Officer - Data Processing,PT. SAPTAINDRA SEJATI,Kalimantan Selatan,Gaji tidak disebutkan,23 hari yang lalu,,,,PT. SAPTAINDRA SEJATI,Kalimantan Selatan,23 hari yang lalu
Data Governance,PT Sigma Cipta Utama,Jakarta Raya,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Sigma Cipta Utama,Jakarta Raya,23 hari yang lalu
IT Data Management Specialist,PT Bussan Auto Finance (BAF),Jakarta Raya,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Bussan Auto Finance (BAF),Jakarta Raya,23 hari yang lalu
IT R&D Intern,PT ASURANSI SIMAS JIWA,Jakarta Raya,Gaji tidak disebutkan,23 hari yang lalu,,,,PT ASURANSI SIMAS JIWA,Jakarta Raya,23 hari yang lalu
Sr. Product & Performance Analyst,IlmuOne Data,Jakarta Raya,Gaji tidak disebutkan,23 hari yang lalu,,,,IlmuOne Data,Jakarta Raya,23 hari yang lalu
Jr. Product & Performance Analyst,IlmuOne Data,Jakarta Raya,Gaji tidak disebutkan,23 hari yang lalu,,,,IlmuOne Data,Jakarta Raya,23 hari yang lalu
L1 Cloud Support Engineer,PT Data Labs Analytics,Jakarta Pusat,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Data Labs Analytics,Jakarta Pusat,23 hari yang lalu
Business Development Representative (BDR),PT Data Labs Analytics,Jakarta Pusat,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Data Labs Analytics,Jakarta Pusat,23 hari yang lalu
Business Analyst,PT Clavisindo Berjaya,Jakarta Pusat,Gaji tidak disebutkan,23 hari yang lalu,,,,PT Clavisindo Berjaya,Jakarta Pusat,23 hari yang lalu
Regulatory Reporting Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,23 hari yang lalu,,,,Macquarie Group,Indonesia,23 hari yang lalu
Analyst - Market Data Sourcing and Procurement,Macquarie Group,Indonesia,Gaji tidak disebutkan,23 hari yang lalu,,,,Macquarie Group,Indonesia,23 hari yang lalu
Data Analyst,Mentari Megah Perkasa,Balikpapan,Rp 4.000.000 – Rp 5.000.000 per month,23 hari yang lalu,4000000.0,5000000.0,4500000.0,Mentari Megah Perkasa,Balikpapan,23 hari yang lalu
Real Assets Digital and AI - Digital Solutions Owner,Macquarie Group,Indonesia,Gaji tidak disebutkan,24 hari yang lalu,,,,Macquarie Group,Indonesia,24 hari yang lalu
DATA PROCESSOR,PT Putra Perkasa Abadi,Kebayoran Baru,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Putra Perkasa Abadi,Kebayoran Baru,24 hari yang lalu
Fraud Analyst,Vida,Jakarta Raya,Gaji tidak disebutkan,24 hari yang lalu,,,,Vida,Jakarta Raya,24 hari yang lalu
Financial Data Analyst Specialist,PT Mitra Indo Maju,Denpasar,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Mitra Indo Maju,Denpasar,24 hari yang lalu
Data Engineer (Project Base),PT Mitra Solusi Telematika,Cilandak,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Mitra Solusi Telematika,Cilandak,24 hari yang lalu
Data Analytics Intern,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,24 hari yang lalu
Quantitative Analyst - Data Statistic,TurnkeyID,Malang,Rp 7.000.000 – Rp 10.000.000 per month,24 hari yang lalu,7000000.0,10000000.0,8500000.0,TurnkeyID,Malang,24 hari yang lalu
Admin Part Analyst,PT Probesco Disatama,Jakarta Pusat,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Probesco Disatama,Jakarta Pusat,24 hari yang lalu
Middle Business Analyst,PT Niaga Manajemen Citra,Tangerang,Rp 11.500.000 – Rp 13.000.000 per month,24 hari yang lalu,11500000.0,13000000.0,12250000.0,PT Niaga Manajemen Citra,Tangerang,24 hari yang lalu
Data Risk Manager | Enablement,Macquarie Group,Indonesia,Gaji tidak disebutkan,24 hari yang lalu,,,,Macquarie Group,Indonesia,24 hari yang lalu
Junior DBA,pt mitra utama solusi telematika,Jakarta Raya,Rp 6.000.000 – Rp 6.800.000 per month,24 hari yang lalu,6000000.0,6800000.0,6400000.0,pt mitra utama solusi telematika,Jakarta Raya,24 hari yang lalu
Krani 1 Data Center (Perkebunan Kelapa Sawit),PT. TIGADAUN KAPUAS,Kalimantan Selatan,Gaji tidak disebutkan,24 hari yang lalu,,,,PT. TIGADAUN KAPUAS,Kalimantan Selatan,24 hari yang lalu
Finance Data Analyst,PT Propan Raya Industrial Coating Chemicals,Tangerang,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Propan Raya Industrial Coating Chemicals,Tangerang,24 hari yang lalu
Data specialist,PT. BRAHMA INTERNATIONAL,Jakarta Selatan,Gaji tidak disebutkan,24 hari yang lalu,,,,PT. BRAHMA INTERNATIONAL,Jakarta Selatan,24 hari yang lalu
Admin Data Intern,PT Piposmart Digital Indonesia,Batam Kota,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Piposmart Digital Indonesia,Batam Kota,24 hari yang lalu
Intern - Data Scientist,PT Pratesis,Jakarta Selatan,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Pratesis,Jakarta Selatan,24 hari yang lalu
Marketing Analyst,PT Tancorp Abadi Nusantara,Jawa Timur,Gaji tidak disebutkan,24 hari yang lalu,,,,PT Tancorp Abadi Nusantara,Jawa Timur,24 hari yang lalu
